Prism papercode,new code
ENSOBU-0320-050,2.4BulkCreamy-320-0-50
ENSOBU-0735-050,2.4BulkCreamy-735-0-50
ENSOBU-0855-050,2.4BulkCreamy-855-0-50
ENSOBU-0980-050,2.4BulkCreamy-980-0-50
ENSOBU-1140-050,2.4BulkCreamy-1140-0-50
NORBO-0320-050,2.4BulkCreamy-320-0-50
NORBO-0735-050,2.4BulkCreamy-735-0-50
NORBO-0855-050,2.4BulkCreamy-855-0-50
NORBO-0980-050,2.4BulkCreamy-980-0-50
NORBO-1140-050,2.4BulkCreamy-1140-0-50
HOLBC-0680-055,120umCreamy-680-0-50
NORBSH-0320-0240-055,120umCreamy-320-240-50
NORBSH-0320-055,120umCreamy-320-0-50
NORBSH-0680-0860-055,120umCreamy-680-860-50
NORBSH-0855-055,120umCreamy-855-0-50
NORBSH-0980-055,120umCreamy-980-0-50
NORBSH-1140-055,120umCreamy-1140-0-50
XNORBSH-0654-055,120umCreamy-654-0-50
ENSOC-0210-0297-060,120umCreamy-210-297-50
ENSOC-0320-060,120umCreamy-320-0-50
ENSOC-0660-060,120umCreamy-660-0-50
ENSOC-0735-060,120umCreamy-735-0-50
ENSOC-0855-060,120umCreamy-855-0-50
ENSOC-0980-060,120umCreamy-980-0-50
ENSOC-1140-060,120umCreamy-1140-0-50
CLASSW-0320-065,120umClassic-320-0-50
CLASSW-0654-065,120umClassic-654-0-50
CLASSW-0855-065,120umClassic-855-0-50
CLASSW-0980-065,120umClassic-980-0-50
CLASSW-1140-065,120umClassic-1140-0-50
NORBSH-0210-0297-065,140umCreamy-210-297-50
NORBSH-0310-0240-065,140umCreamy-310-240-50
NORBSH-0320-065,140umCreamy-320-0-50
NORBSH-0455-0320-065,140umCreamy-455-320-50
NORBSH-0590-0846-065,140umCreamy-590-846-50
NORBSH-0610-065,140umCreamy-610-0-50
NORBSH-0654-065,140umCreamy-654-0-50
NORBSH-0675-1000-065,140umCreamy-675-1000-50
NORBSH-0720-065,140umCreamy-720-0-50
NORBSH-0735-065,140umCreamy-735-0-50
NORBSH-0855-065,140umCreamy-855-0-50
NORBSH-0915-0620-065,140umCreamy-915-620-50
NORBSH-0915-065,140umCreamy-915-0-50
NORBSH-0980-065,140umCreamy-980-0-50
NORBSH-1020-065,140umCreamy-1020-0-50
NORBSH-1140-065,140umCreamy-1140-0-50
XNORSB-0640-065,140umCreamy-640-0-50
XNORSB-0654-065,140umCreamy-654-0-50
XNORSB-0720-065,140umCreamy-720-0-50
NORBOW-0320-067,120umClassic-320-0-50
NORBOW-0570-067,120umClassic-570-0-50
NORBOW-0635-0850-067,120umClassic-635-850-50
NORBOW-0654-067,120umClassic-654-0-50
NORBOW-0735-067,120umClassic-735-0-50
NORBOW-0855-067,120umClassic-855-0-50
NORBOW-0980-067,120umClassic-980-0-50
NORBOW-1140-067,120umClassic-1140-0-50
CLASSW-0210-0297-070,140umClassic-210-297-50
CLASSW-0230-0310-070,140umClassic-230-310-50
CLASSW-0320-070,140umClassic-320-0-50
CLASSW-0490-070,140umClassic-490-0-50
CLASSW-0650-0910-070,140umClassic-650-910-50
CLASSW-0654-070,140umClassic-654-0-50
CLASSW-0735-070,140umClassic-735-0-50
CLASSW-0855-070,140umClassic-855-0-50
CLASSW-0890-070,140umClassic-890-0-50
CLASSW-0980-070,140umClassic-980-0-50
CLASSW-1140-070,140umClassic-1140-0-50
ENSOC-0210-0297-070,140umCreamy-210-297-50
ENSOC-0320-0210-070,140umCreamy-320-210-50
ENSOC-0320-070,140umCreamy-320-0-50
ENSOC-0490-070,140umCreamy-490-0-50
ENSOC-0570-070,140umCreamy-570-0-50
ENSOC-0654-070,140umCreamy-654-0-50
ENSOC-0855-070,140umCreamy-855-0-50
ENSOC-0915-070,140umCreamy-915-0-50
ENSOC-0980-070,140umCreamy-980-0-50
ENSOC-0980-0990-070,140umCreamy-980-990-50
ENSOC-1020-070,140umCreamy-1020-0-50
ENSOC-1140-070,140umCreamy-1140-0-50
XENSOC-0640-070,140umCreamy-640-0-50
YCLASSW-0490-070,140umClassic-490-0-50
NORBOW-0210-0297-073,140umClassic-210-297-50
NORBOW-0230-0310-073,140umClassic-230-310-50
NORBOW-0320-0244-073,140umClassic-320-244-50
NORBOW-0320-073,140umClassic-320-0-50
NORBOW-0570-0870-073,140umClassic-570-870-50
NORBOW-0590-0870-073,140umClassic-590-870-50
NORBOW-0654-073,140umClassic-654-0-50
NORBOW-0720-1020-073,140umClassic-720-1020-50
NORBOW-0735-073,140umClassic-735-0-50
NORBOW-0855-073,140umClassic-855-0-50
NORBOW-0890-073,140umClassic-890-0-50
NORBOW-0910-0690-073,140umClassic-910-690-50
NORBOW-0980-073,140umClassic-980-0-50
NORBOW-1140-073,140umClassic-1140-0-50
XNORW-0720-073,140umClassic-720-0-50
CLASSW-0654-080,160umClassic-654-0-50
CLASSW-0980-080,160umClassic-980-0-50
ENSOC-0320-080,160umCreamy-320-0-50
ENSOC-0980-080,160umCreamy-980-0-50
HOLBC-0320-080,160umCreamy-320-0-50
HOLBC-0855-080,160umCreamy-855-0-50
